"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2021年04月01日","4,926.0","5,120.0","5,130.0","4,872.0","9.45M","-1.56%"
"2021年03月31日","5,004.0","5,340.0","5,405.0","5,000.0","8.21M","-7.30%"
"2021年03月30日","5,398.0","5,354.0","5,404.0","5,302.0","2.19M","0.97%"
"2021年03月29日","5,346.0","5,450.0","5,452.0","5,280.0","3.83M","-0.94%"
"2021年03月26日","5,397.0","5,450.0","5,515.0","5,381.0","3.42M","1.20%"
"2021年03月25日","5,333.0","5,249.0","5,367.0","5,235.0","3.28M","2.70%"
"2021年03月24日","5,193.0","5,236.0","5,299.0","5,191.0","3.82M","-1.96%"
"2021年03月23日","5,297.0","5,415.0","5,434.0","5,293.0","2.75M","-2.05%"
"2021年03月22日","5,408.0","5,361.0","5,449.0","5,355.0","2.30M","-0.42%"
"2021年03月19日","5,431.0","5,295.0","5,442.0","5,290.0","3.79M","0.67%"
"2021年03月18日","5,395.0","5,474.0","5,475.0","5,381.0","4.20M","-0.28%"
"2021年03月17日","5,410.0","5,370.0","5,424.0","5,358.0","1.90M","0.39%"
"2021年03月16日","5,389.0","5,411.0","5,414.0","5,361.0","2.27M","-0.28%"
"2021年03月15日","5,404.0","5,367.0","5,410.0","5,344.0","2.71M","0.92%"
"2021年03月12日","5,355.0","5,287.0","5,360.0","5,236.0","3.60M","2.43%"
"2021年03月11日","5,228.0","5,237.0","5,293.0","5,202.0","2.65M","-0.04%"
"2021年03月10日","5,230.0","5,150.0","5,243.0","5,111.0","4.16M","-0.78%"
"2021年03月09日","5,271.0","5,370.0","5,384.0","5,220.0","3.69M","-0.13%"
"2021年03月08日","5,278.0","5,280.0","5,339.0","5,224.0","4.04M","0.63%"
"2021年03月05日","5,245.0","5,132.0","5,252.0","5,109.0","4.18M","1.77%"
"2021年03月04日","5,154.0","5,151.0","5,180.0","5,088.0","3.84M","0.12%"
"2021年03月03日","5,148.0","5,040.0","5,148.0","5,021.0","2.71M","2.22%"
"2021年03月02日","5,036.0","5,100.0","5,124.0","4,982.0","3.06M","-1.04%"
"2021年03月01日","5,089.0","4,980.0","5,090.0","4,958.0","3.33M","4.37%"
"2021年02月26日","4,876.0","5,040.0","5,075.0","4,874.0","4.70M","-5.34%"
"2021年02月25日","5,151.0","5,077.0","5,151.0","5,045.0","4.34M","3.81%"
"2021年02月24日","4,962.0","4,995.0","5,100.0","4,955.0","5.42M","0.57%"
"2021年02月22日","4,934.0","4,940.0","5,000.0","4,920.0","2.75M","1.84%"
"2021年02月19日","4,845.0","4,758.0","4,893.0","4,755.0","2.58M","0.94%"
"2021年02月18日","4,800.0","4,903.0","4,959.0","4,795.0","3.81M","-3.48%"
"2021年02月17日","4,973.0","4,911.0","4,984.0","4,883.0","3.31M","1.70%"
"2021年02月16日","4,890.0","4,830.0","4,891.0","4,825.0","2.55M","0.91%"
"2021年02月15日","4,846.0","4,900.0","4,920.0","4,833.0","3.15M","-0.94%"
"2021年02月12日","4,892.0","4,965.0","4,970.0","4,834.0","3.49M","-0.91%"
"2021年02月10日","4,937.0","4,816.0","4,944.0","4,811.0","3.68M","1.92%"
"2021年02月09日","4,844.0","4,951.0","4,952.0","4,803.0","4.74M","-3.06%"
"2021年02月08日","4,997.0","4,889.0","5,000.0","4,876.0","5.22M","3.24%"
"2021年02月05日","4,840.0","4,805.0","4,885.0","4,802.0","5.30M","1.34%"
"2021年02月04日","4,776.0","4,567.0","4,778.0","4,567.0","6.48M","4.71%"
"2021年02月03日","4,561.0","4,497.0","4,565.0","4,482.0","3.98M","2.08%"
"2021年02月02日","4,468.0","4,459.0","4,492.0","4,410.0","3.39M","-0.16%"
"2021年02月01日","4,475.0","4,320.0","4,512.0","4,313.0","3.82M","3.92%"
"2021年01月29日","4,306.0","4,380.0","4,412.0","4,295.0","2.57M","-2.03%"
"2021年01月28日","4,395.0","4,294.0","4,435.0","4,294.0","3.26M","-0.72%"
"2021年01月27日","4,427.0","4,363.0","4,427.0","4,348.0","2.20M","1.21%"
"2021年01月26日","4,374.0","4,400.0","4,409.0","4,374.0","1.70M","-0.55%"
"2021年01月25日","4,398.0","4,369.0","4,422.0","4,343.0","2.10M","0.92%"
"2021年01月22日","4,358.0","4,301.0","4,363.0","4,295.0","1.56M","-0.05%"
"2021年01月21日","4,360.0","4,384.0","4,404.0","4,351.0","1.95M","0.02%"
"2021年01月20日","4,359.0","4,378.0","4,384.0","4,328.0","2.12M","-0.50%"
"2021年01月19日","4,381.0","4,270.0","4,397.0","4,267.0","2.90M","2.60%"
"2021年01月18日","4,270.0","4,337.0","4,343.0","4,265.0","2.44M","-1.70%"
"2021年01月15日","4,344.0","4,340.0","4,375.0","4,314.0","2.69M","0.09%"
"2021年01月14日","4,340.0","4,310.0","4,375.0","4,300.0","2.01M","0.28%"
"2021年01月13日","4,328.0","4,316.0","4,366.0","4,314.0","2.40M","-0.55%"
"2021年01月12日","4,352.0","4,350.0","4,371.0","4,295.0","3.34M","0.72%"
"2021年01月08日","4,321.0","4,289.0","4,324.0","4,258.0","4.25M","0.49%"
"2021年01月07日","4,300.0","4,190.0","4,317.0","4,188.0","5.17M","5.29%"
"2021年01月06日","4,084.0","4,055.0","4,100.0","4,043.0","2.49M","-0.02%"
"2021年01月05日","4,085.0","4,041.0","4,100.0","4,023.0","2.42M","1.49%"
